player_name|transfer_from|transfer_to|transfer_from_id|transfer_to_id|tm_player_id
Kyle Beckerman|Colorado Rapids|Real Salt Lake City|1247|6643|26995
Sebastián Jaime|Unión Española|Real Salt Lake City|4321|6643|123013
Sam Johnson|Vålerenga Fotball Elite|Real Salt Lake City|76|6643|252062
Damir Kreilach|1.FC Union Berlin|Real Salt Lake City|89|6643|68884
Magnus Eriksson|Djurgårdens IF|San Jose Earthquakes|1044|218|75554
Hernán López|CD Godoy Cruz Antonio Tomba|San Jose Earthquakes|12574|218|665309
Julian de Guzman|Deportivo de La Coruña|Toronto FC|897|11141|1083
Alejandro Pozuelo|KRC Genk|Toronto FC|1184|11141|188853
Mustapha Jarju|RAEC Mons|Vancouver Whitecaps FC|1411|6321|
Kendall Waston|Deportivo Saprissa|Vancouver Whitecaps FC|4720|6321|195540
Hwang In-beom|Daejeon Hana Citizen|Vancouver Whitecaps FC|6499|6321|
Ali Adnan Kadhim|Udinese Calcio|Vancouver Whitecaps FC|410|6321|261611
